4,2419,81,2880,0
3,1863,65,2364,0
20,2744,80,3201,0
7,2670,80,3175,0
3,66,74,575,0
11,2632,54,3132,0
12,1263,74,1737,0
29,477,67,958,0
19,2030,53,2467,0
2,95,53,528,0
12,1755,88,2217,0
1,868,61,1346,0
24,432,91,930,0
21,1007,57,1494,0
0,221,83,737,0
23,61,97,562,0
24,2169,74,2690,0
11,2625,84,3067,0
2,344,63,814,0
3,2980,60,3412,0
6,1897,62,2349,0
18,3164,90,3606,0
9,430,68,860,0
11,1961,90,2458,0
17,1841,59,2282,0
0,1786,57,2230,0
29,2612,83,3069,0
16,3103,71,3548,0
13,1378,53,1854,0
27,1961,78,2428,0
22,508,58,978,0
24,332,83,826,0
9,2693,100,3183,0
20,1979,79,2463,0
15,2674,68,3180,0
10,2141,91,2663,0
27,1547,76,2007,0
0,2763,86,3205,0
22,3026,75,3473,0
19,1595,57,2083,0
11,2537,54,3026,0
14,2722,69,3164,0
2,619,78,1132,0
8,2097,97,2527,0
16,2022,87,2511,0
14,1953,83,2396,0
17,1768,75,2290,0
15,2491,65,3008,0
2,1163,62,1655,0
3,625,56,1123,0
5,957,79,1440,0
19,690,53,1164,0
12,2751,54,3240,0
4,2498,66,2943,0
18,1652,79,2166,0
18,2793,83,3240,0
29,2507,60,2955,0
18,1613,75,2122,0
7,167,86,681,0
9,405,100,855,0
28,2320,62,2815,0
5,2535,81,3030,0
1,2100,61,2602,0
5,1195,54,1692,0
18,1096,75,1611,0
12,1216,69,1723,0
10,961,90,1445,0
11,1475,73,1941,0
24,1126,81,1559,0
29,2950,54,3422,0
7,2070,67,2534,0
29,2325,86,2799,0
6,2701,96,3218,0
8,3149,70,3654,0
6,1486,62,1965,0
12,2214,51,2677,0
21,1120,56,1586,0
4,63,74,514,0
15,37,63,472,0
14,2993,77,3487,0
20,909,68,1373,0
6,2106,78,2608,0
5,1064,94,1504,0
22,2926,84,3427,0
6,2652,70,3109,0
20,2595,88,3038,0
24,1753,65,2195,0
29,2234,79,2736,0
29,1639,91,2125,0
28,2731,50,3239,0
22,960,90,1400,0
25,3124,50,3552,0
0,1264,60,1698,0
18,2725,69,3177,0
1,2735,85,3212,0
26,846,50,1308,0
1,940,100,1403,0
24,906,65,1423,0
8,1690,94,2179,0
17,465,54,922,0
21,2771,75,3223,0
9,1279,76,1716,0
12,1707,50,2205,0
27,1194,88,1716,0
23,1664,83,2133,0
23,3108,79,3581,0
8,2006,82,2476,0
27,2858,50,3351,0
26,2416,78,2867,0
24,2787,50,3218,0
7,1325,83,1800,0
18,2338,73,2821,0
13,2841,90,3292,0
5,1776,59,2239,0
7,2798,90,3296,0
23,1564,75,2028,0
9,169,93,679,0
12,1150,54,1663,0
13,2050,98,2509,0
27,922,60,1405,0
7,271,57,702,0
26,1266,65,1724,0
20,2043,92,2523,0
29,1085,84,1526,0
10,39,52,543,0
12,2840,81,3309,0
21,2539,88,3006,0
6,497,95,939,0
24,1981,73,2443,0
15,311,65,819,0
0,2785,91,3217,0
7,771,57,1201,0
11,1506,76,1944,0
18,1339,84,1787,0
6,1238,98,1728,0
10,501,97,1022,0
25,2258,53,2697,0
8,2418,55,2931,0
2,3123,76,3597,0
4,2745,63,3173,0
16,1526,65,1987,0
3,1945,80,2410,0
2,2597,77,3115,0
7,1037,55,1507,0
17,2382,87,2832,0
7,2668,90,3122,0
25,364,91,848,0
24,2206,92,2683,0
20,1454,85,1904,0
9,1530,57,1961,0
27,832,61,1318,0
18,1419,93,1858,0
20,1982,97,2468,0
22,355,57,840,0
3,1912,61,2423,0
11,2098,89,2620,0
3,1691,100,2201,0
3,2256,79,2755,0
5,2554,95,3037,0
27,2049,67,2541,0
11,3042,77,3515,0
14,46,53,524,0
12,2697,98,3177,0
8,1841,84,2288,0
3,2532,62,3009,0
2,2254,94,2682,0
1,2115,67,2588,0
2,1816,88,2333,0
0,960,76,1473,0
21,644,75,1123,0
9,1178,69,1658,0
14,874,77,1322,0
21,2631,59,3144,0
21,2780,58,3210,0
15,51,75,549,0
23,844,70,1344,0
10,566,79,1036,0
19,384,92,828,0
13,762,91,1197,0
3,302,63,775,0
10,2452,58,2962,0
5,1917,80,2383,0
12,2915,61,3408,0
7,2696,62,3172,0
2,649,53,1140,0
20,2580,58,3020,0
18,1028,96,1507,0
3,1785,54,2272,0
2,2536,97,2983,0
18,55,75,508,0
13,605,86,1048,0
14,1639,99,2148,0
7,1840,57,2314,0
19,705,95,1216,0
14,2212,60,2695,0
13,289,78,718,0
1,1077,59,1521,0
18,717,62,1191,0
19,549,81,1042,0
23,777,69,1251,0
