8,922,99,1247,0
0,511,55,765,0
4,700,92,1019,0
4,1364,58,1689,0
5,1069,75,1295,0
19,371,55,634,0
2,568,59,855,0
10,1490,88,1813,0
1,398,53,629,0
0,1445,77,1649,0
9,188,61,441,0
3,467,82,836,0
5,265,72,458,0
10,1531,57,1793,0
1,430,100,734,0
0,98,89,417,0
10,223,83,529,0
13,1315,99,1566,0
9,1367,96,1716,0
6,1352,82,1558,0
3,262,95,461,0
3,1409,56,1616,0
13,810,59,1134,0
18,728,72,1035,0
7,155,92,393,0
4,1064,82,1390,0
15,525,85,891,0
9,167,68,467,0
5,360,99,738,0
19,452,65,788,0
6,465,72,661,0
6,312,60,631,0
4,1162,100,1497,0
7,80,99,342,0
16,322,75,522,0
7,261,94,474,0
0,1177,59,1475,0
15,688,64,1067,0
6,1530,56,1826,0
17,1310,95,1566,0
8,937,86,1141,0
18,433,65,744,0
19,548,83,756,0
19,690,91,901,0
17,976,62,1354,0
0,1542,81,1738,0
3,35,77,308,0
7,79,98,324,0
14,458,86,793,0
12,408,51,755,0
